0.000000,6.428571,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.800000,0.000000,0.000000,0.000000
0.000000,6.428571,4.999999,-0.002550,0.002550,-0.000140,0.999919,-0.007812,-0.007812,0.000000,-0.937500,-0.937500,0.000000,9.797582,-2.500000,-2.500000,0.000000
-0.000689,6.429260,5.002043,-0.029909,0.029913,0.123174,0.998641,-0.038077,-0.038062,0.000469,-0.976563,-0.976563,0.056250,14.797582,0.000000,0.000000,0.150000
-0.003605,6.432176,5.012213,-0.083902,0.083868,0.241983,0.997967,-0.045629,-0.045374,0.003217,0.571289,0.571289,0.171094,9.797582,2.500000,2.500000,0.300000
-0.008544,6.437115,5.022300,-0.106418,0.106583,0.123954,0.999953,-0.005871,-0.004835,0.008202,2.714233,2.714233,0.195410,5.196331,5.000000,5.000000,0.150000
-0.013376,6.441993,5.024781,-0.073239,0.075493,0.015021,0.993023,0.082415,0.085056,0.012025,4.142838,4.142838,0.110779,10.196331,5.000000,5.000000,-0.000000
-0.013369,6.442291,5.027183,0.102632,-0.095085,0.108128,0.963568,0.190652,0.188057,0.011940,4.678564,3.741064,-0.014708,15.196331,5.000000,2.500000,-0.150000
0.000473,6.428489,5.037146,0.487496,-0.502758,0.295005,0.915325,0.302324,0.266706,0.002367,4.879462,2.965399,-0.155515,20.196331,5.000000,2.500000,-0.300000
0.038745,6.386873,5.055978,1.071848,-1.213211,0.445294,0.855798,0.404368,0.322792,-0.014586,4.147330,1.737025,-0.189568,25.196331,2.846753,0.000000,-0.150000
0.109772,6.302195,5.079349,1.773539,-2.224405,0.461802,0.805573,0.484708,0.338531,-0.043120,4.141937,-0.286116,-0.221088,29.400000,5.000000,-2.500000,-0.300000
0.214569,6.160999,5.099289,2.391984,-3.438453,0.302674,0.757929,0.562415,0.317939,-0.093414,3.740726,-0.904088,-0.214158,29.400000,2.500000,-0.458119,-0.150000
0.345327,5.957114,5.106677,2.802611,-4.722300,-0.027156,0.719128,0.615941,0.292346,-0.136359,2.558054,-1.562857,-0.148277,29.400000,1.414083,-2.958119,-0.081248
0.491627,5.688766,5.095188,3.019795,-6.007823,-0.434728,0.704065,0.639189,0.250550,-0.183160,0.905572,-2.335036,-0.057166,29.400000,-1.085917,-2.691827,0.050000
