0.000000,2.500000,5.000000,0.653281,-0.270598,-0.270598,0.653281
0.499167,2.487510,5.000000,0.619815,-0.256736,-0.283784,0.685116
0.993347,2.450166,5.000000,0.584798,-0.242231,-0.296261,0.715237
1.477601,2.388341,5.000000,0.548321,-0.227122,-0.307997,0.743571
1.947092,2.302652,5.000000,0.510472,-0.211445,-0.318964,0.770046
2.397128,2.193956,5.000000,0.471348,-0.195239,-0.329133,0.794597
2.823212,2.063339,5.000000,0.431046,-0.178545,-0.338479,0.817162
3.221088,1.912105,5.000000,0.389666,-0.161405,-0.346980,0.837684
3.586780,1.741767,5.000000,0.347312,-0.143861,-0.354613,0.856112
3.916635,1.554025,5.000000,0.304090,-0.125958,-0.361360,0.872400
4.207355,1.350756,5.000000,0.260109,-0.107741,-0.367204,0.886508
4.456037,1.133990,5.000000,0.215477,-0.089253,-0.372130,0.898400
4.660195,0.905894,5.000000,0.170306,-0.070543,-0.376125,0.908047
4.817791,0.668747,5.000000,0.124710,-0.051656,-0.379181,0.915424
4.927249,0.424918,5.000000,0.078802,-0.032641,-0.381289,0.920513
4.987475,0.176843,5.000000,0.032697,-0.013543,-0.382444,0.923301
4.997868,-0.072999,5.000000,-0.013490,0.005588,-0.382643,0.923781
4.958324,-0.322111,5.000000,-0.059643,0.024705,-0.381885,0.921952
4.869238,-0.568005,5.000000,-0.105647,0.043760,-0.380173,0.917819
4.731500,-0.808224,5.000000,-0.151386,0.062706,-0.377511,0.911392
4.546487,-1.040367,5.000000,-0.196748,0.081496,-0.373905,0.902687
4.316047,-1.262115,5.000000,-0.241618,0.100081,-0.369365,0.891725
4.042482,-1.471253,5.000000,-0.285883,0.118417,-0.363901,0.878535
3.728526,-1.665690,5.000000,-0.329434,0.136456,-0.357528,0.863149
3.377316,-1.843484,5.000000,-0.372162,0.154155,-0.350261,0.845605
2.992361,-2.002859,5.000000,-0.413960,0.171468,-0.342119,0.825948
2.577507,-2.142222,5.000000,-0.454723,0.188352,-0.333122,0.804227
2.136899,-2.260180,5.000000,-0.494349,0.204766,-0.323292,0.780495
1.674941,-2.355556,5.000000,-0.532740,0.220668,-0.312654,0.754812
1.196247,-2.427395,5.000000,-0.569799,0.236018,-0.301234,0.727243
0.705600,-2.474981,5.000000,-0.605434,0.250779,-0.289062,0.697856
0.207903,-2.497838,5.000000,-0.639555,0.264912,-0.276167,0.666725
-0.291871,-2.495737,5.000000,-0.672078,0.278384,-0.262581,0.633927
-0.788728,-2.468699,5.000000,-0.702922,0.291160,-0.248340,0.599545
-1.277706,-2.416995,5.000000,-0.732008,0.303208,-0.233477,0.563665
-1.753916,-2.341142,5.000000,-0.759265,0.314498,-0.218032,0.526375
-2.212602,-2.241896,5.000000,-0.784624,0.325002,-0.202041,0.487770
-2.649181,-2.120250,5.000000,-0.808021,0.334693,-0.185545,0.447945
-3.059289,-1.977419,5.000000,-0.829399,0.343548,-0.168585,0.407001
-3.438831,-1.814831,5.000000,-0.848704,0.351545,-0.151204,0.365040
-3.784012,-1.634109,5.000000,-0.865888,0.358663,-0.133446,0.322166
-4.091386,-1.437060,5.000000,-0.880908,0.364884,-0.115353,0.278487
-4.357879,-1.225652,5.000000,-0.893725,0.370193,-0.096972,0.234112
-4.580830,-1.001998,5.000000,-0.904309,0.374577,-0.078349,0.189152
-4.758010,-0.768332,5.000000,-0.912633,0.378025,-0.059530,0.143719
-4.887651,-0.526989,5.000000,-0.918675,0.380528,-0.040563,0.097927
-4.968455,-0.280381,5.000000,-0.922421,0.382079,-0.021493,0.051890
-4.999616,-0.030972,5.000000,-0.923862,0.382676,-0.002371,0.005723
-4.980823,0.218747,5.000000,-0.922993,0.382316,0.016758,-0.040458
-4.912263,0.466281,5.000000,-0.919818,0.381001,0.035845,-0.086538
-4.794621,0.709155,5.000000,-0.914343,0.378733,0.054843,-0.132402
-4.629073,0.944944,5.000000,-0.906583,0.375519,0.073703,-0.177934
-4.417273,1.171292,5.000000,-0.896557,0.371366,0.092379,-0.223022
-4.161337,1.385936,5.000000,-0.884290,0.366285,0.110824,-0.267553
-3.863822,1.586732,5.000000,-0.869813,0.360288,0.128992,-0.311414
-3.527702,1.771674,5.000000,-0.853162,0.353391,0.146838,-0.354498
-3.156333,1.938915,5.000000,-0.834378,0.345611,0.164316,-0.396695
-2.753428,2.086782,5.000000,-0.813509,0.336966,0.181384,-0.437901
-2.323011,2.213799,5.000000,-0.790606,0.327480,0.197999,-0.478012
-1.869383,2.318696,5.000000,-0.765727,0.317175,0.214119,-0.516928
-1.397077,2.400426,5.000000,-0.738935,0.306077,0.229703,-0.554553
-0.910813,2.458171,5.000000,-0.710295,0.294214,0.244714,-0.590791
-0.415447,2.491355,5.000000,-0.679880,0.281616,0.259112,-0.625553
0.084070,2.499647,5.000000,-0.647766,0.268314,0.272863,-0.658751
0.582746,2.482962,5.000000,-0.614033,0.254341,0.285933,-0.690302
1.075600,2.441469,5.000000,-0.578765,0.239732,0.298287,-0.720128
1.557707,2.375581,5.000000,-0.542050,0.224524,0.309896,-0.748155
2.024250,2.285958,5.000000,-0.503980,0.208755,0.320730,-0.774311
2.470567,2.173494,5.000000,-0.464651,0.192465,0.330763,-0.798532
2.892199,2.039313,5.000000,-0.424160,0.175693,0.339968,-0.820757
3.284933,1.884756,5.000000,-0.382610,0.158482,0.348325,-0.840930
3.644845,1.711367,5.000000,-0.340102,0.140875,0.355810,-0.859002
3.968339,1.520878,5.000000,-0.296745,0.122916,0.362406,-0.874926
4.252183,1.315194,5.000000,-0.252646,0.104650,0.368097,-0.888664
4.493540,1.096368,5.000000,-0.207916,0.086122,0.372867,-0.900180
4.690000,0.866588,5.000000,-0.162666,0.067378,0.376705,-0.909447
4.839598,0.628150,5.000000,-0.117009,0.048467,0.379602,-0.916440
4.940841,0.383435,5.000000,-0.071060,0.029434,0.381550,-0.921143
4.992717,0.134889,5.000000,-0.024933,0.010328,0.382544,-0.923543
