9.794861,0.697664,1.130110,0.000000
4.000000,4.804519,5.000000,0.286221
4.000000,1.269058,3.748205,0.300000
23.370624,2.275744,4.191410,-0.300000
49.000000,1.945059,4.387953,-0.300000
49.000000,1.112993,3.895171,-0.300000
49.000000,0.589128,1.550692,-0.209976
49.000000,1.202361,-1.454390,-0.075120
4.000000,1.418023,-3.322122,-0.154750
4.000000,1.480204,-4.609313,-0.026391
4.000000,1.691704,-4.616066,-0.048411
4.000000,1.721167,-4.661271,-0.168687
4.000000,1.747375,-4.658406,-0.221437
4.000000,1.743532,-4.607239,-0.278565
4.000000,1.711038,-4.512861,-0.300000
4.000000,1.665794,-4.397638,-0.300000
45.263405,1.636779,-4.288735,-0.300000
49.000000,0.956034,-3.331908,-0.300000
49.000000,0.273651,-2.566160,-0.272585
49.000000,-0.274127,-2.011784,-0.184627
